Country,Region,year,index,value
IT,Abruzzo,2015-01-01,Primary,985.7
IT,Abruzzo,2016-01-01,Primary,1033.1
IT,Abruzzo,2017-01-01,Primary,995.4000000000001
IT,Abruzzo,2018-01-01,Primary,976.2
IT,Abruzzo,2019-01-01,Primary,991.8000000000001
IT,Abruzzo,2020-01-01,Primary,952.3
IT,Abruzzo,2021-01-01,Primary,975.1999999999999
IT,Abruzzo,2022-01-01,Primary,932.2
IT,Abruzzo,2023-01-01,Primary,821.9
IT,Basilicata,2015-01-01,Primary,978.0
IT,Basilicata,2016-01-01,Primary,1147.7
IT,Basilicata,2017-01-01,Primary,1159.7
IT,Basilicata,2018-01-01,Primary,1265.1
IT,Basilicata,2019-01-01,Primary,1159.2
IT,Basilicata,2020-01-01,Primary,1099.7
IT,Basilicata,2021-01-01,Primary,1426.3
IT,Basilicata,2022-01-01,Primary,875.0999999999999
IT,Basilicata,2023-01-01,Primary,901.3
IT,Calabria,2015-01-01,Primary,1454.2
IT,Calabria,2016-01-01,Primary,1362.5
IT,Calabria,2017-01-01,Primary,1568.6
IT,Calabria,2018-01-01,Primary,1314.1999999999998
IT,Calabria,2019-01-01,Primary,1503.0
IT,Calabria,2020-01-01,Primary,1409.5
IT,Calabria,2021-01-01,Primary,1568.7
IT,Calabria,2022-01-01,Primary,1447.1
IT,Calabria,2023-01-01,Primary,1445.1
IT,Campania,2015-01-01,Primary,2577.6
IT,Campania,2016-01-01,Primary,2394.7
IT,Campania,2017-01-01,Primary,2368.5
IT,Campania,2018-01-01,Primary,2312.9
IT,Campania,2019-01-01,Primary,2461.2999999999997
IT,Campania,2020-01-01,Primary,2518.1
IT,Campania,2021-01-01,Primary,2547.9
IT,Campania,2022-01-01,Primary,2727.3999999999996
IT,Campania,2023-01-01,Primary,2634.7000000000003
IT,Emilia-Romagna,2015-01-01,Primary,3620.2
IT,Emilia-Romagna,2016-01-01,Primary,3834.0
IT,Emilia-Romagna,2017-01-01,Primary,3577.1
IT,Emilia-Romagna,2018-01-01,Primary,3595.4
IT,Emilia-Romagna,2019-01-01,Primary,3311.0
IT,Emilia-Romagna,2020-01-01,Primary,3314.8
IT,Emilia-Romagna,2021-01-01,Primary,3157.5
IT,Emilia-Romagna,2022-01-01,Primary,3407.9
IT,Emilia-Romagna,2023-01-01,Primary,2818.1
IT,Friuli-Venezia Giulia,2015-01-01,Primary,689.6
IT,Friuli-Venezia Giulia,2016-01-01,Primary,694.5
IT,Friuli-Venezia Giulia,2017-01-01,Primary,659.7
IT,Friuli-Venezia Giulia,2018-01-01,Primary,657.6
IT,Friuli-Venezia Giulia,2019-01-01,Primary,637.2
IT,Friuli-Venezia Giulia,2020-01-01,Primary,522.5
IT,Friuli-Venezia Giulia,2021-01-01,Primary,540.8
IT,Friuli-Venezia Giulia,2022-01-01,Primary,643.0
IT,Friuli-Venezia Giulia,2023-01-01,Primary,499.79999999999995
IT,Lazio,2015-01-01,Primary,2058.6
IT,Lazio,2016-01-01,Primary,2117.3
IT,Lazio,2017-01-01,Primary,2092.1
IT,Lazio,2018-01-01,Primary,2251.5
IT,Lazio,2019-01-01,Primary,2270.9
IT,Lazio,2020-01-01,Primary,2235.0
IT,Lazio,2021-01-01,Primary,2432.2
IT,Lazio,2022-01-01,Primary,2165.3
IT,Lazio,2023-01-01,Primary,2035.0
IT,Liguria,2015-01-01,Primary,563.0
IT,Liguria,2016-01-01,Primary,527.9
IT,Liguria,2017-01-01,Primary,516.4
IT,Liguria,2018-01-01,Primary,520.1999999999999
IT,Liguria,2019-01-01,Primary,521.3000000000001
IT,Liguria,2020-01-01,Primary,452.5
IT,Liguria,2021-01-01,Primary,463.2
IT,Liguria,2022-01-01,Primary,461.6
IT,Liguria,2023-01-01,Primary,471.2
IT,Lombardia,2015-01-01,Primary,4141.9
IT,Lombardia,2016-01-01,Primary,4364.4
IT,Lombardia,2017-01-01,Primary,4275.5
IT,Lombardia,2018-01-01,Primary,4253.1
IT,Lombardia,2019-01-01,Primary,4080.5
IT,Lombardia,2020-01-01,Primary,3965.6000000000004
IT,Lombardia,2021-01-01,Primary,4478.0
IT,Lombardia,2022-01-01,Primary,3645.6000000000004
IT,Lombardia,2023-01-01,Primary,3790.0
IT,Marche,2015-01-01,Primary,890.3
IT,Marche,2016-01-01,Primary,899.3
IT,Marche,2017-01-01,Primary,808.3
IT,Marche,2018-01-01,Primary,778.4
IT,Marche,2019-01-01,Primary,734.3
IT,Marche,2020-01-01,Primary,617.8
IT,Marche,2021-01-01,Primary,632.8000000000001
IT,Marche,2022-01-01,Primary,603.3
IT,Marche,2023-01-01,Primary,428.0
IT,Molise,2015-01-01,Primary,316.6
IT,Molise,2016-01-01,Primary,314.2
IT,Molise,2017-01-01,Primary,304.3
IT,Molise,2018-01-01,Primary,313.2
IT,Molise,2019-01-01,Primary,310.3
IT,Molise,2020-01-01,Primary,309.9
IT,Molise,2021-01-01,Primary,354.7
IT,Molise,2022-01-01,Primary,305.2
IT,Molise,2023-01-01,Primary,318.2
IT,Piemonte,2015-01-01,Primary,2045.3000000000002
IT,Piemonte,2016-01-01,Primary,2145.4
IT,Piemonte,2017-01-01,Primary,2006.6
IT,Piemonte,2018-01-01,Primary,2036.5
IT,Piemonte,2019-01-01,Primary,2002.9
IT,Piemonte,2020-01-01,Primary,1889.7
IT,Piemonte,2021-01-01,Primary,1763.2
IT,Piemonte,2022-01-01,Primary,1623.6000000000001
