Country,Region,Sex,Year,Age_Group,Population
IT,Abruzzo,Female,2021-01-01,Under_16,81
IT,Abruzzo,Male,2021-01-01,Under_16,86
IT,Abruzzo,Female,2022-01-01,Under_16,80
IT,Abruzzo,Male,2022-01-01,Under_16,85
IT,Abruzzo,Female,2023-01-01,Under_16,79
IT,Abruzzo,Male,2023-01-01,Under_16,83
IT,Basilicata,Female,2021-01-01,Under_16,33
IT,Basilicata,Male,2021-01-01,Under_16,35
IT,Basilicata,Female,2022-01-01,Under_16,32
IT,Basilicata,Male,2022-01-01,Under_16,34
IT,Basilicata,Female,2023-01-01,Under_16,31
IT,Basilicata,Male,2023-01-01,Under_16,33
IT,Calabria,Female,2021-01-01,Under_16,128
IT,Calabria,Male,2021-01-01,Under_16,135
IT,Calabria,Female,2022-01-01,Under_16,126
IT,Calabria,Male,2022-01-01,Under_16,133
IT,Calabria,Female,2023-01-01,Under_16,124
IT,Calabria,Male,2023-01-01,Under_16,130
IT,Campania,Female,2021-01-01,Under_16,422
IT,Campania,Male,2021-01-01,Under_16,446
IT,Campania,Female,2022-01-01,Under_16,413
IT,Campania,Male,2022-01-01,Under_16,437
IT,Campania,Female,2023-01-01,Under_16,405
IT,Campania,Male,2023-01-01,Under_16,428
IT,Emilia-Romagna,Female,2021-01-01,Under_16,294
IT,Emilia-Romagna,Male,2021-01-01,Under_16,312
IT,Emilia-Romagna,Female,2022-01-01,Under_16,290
IT,Emilia-Romagna,Male,2022-01-01,Under_16,308
IT,Emilia-Romagna,Female,2023-01-01,Under_16,286
IT,Emilia-Romagna,Male,2023-01-01,Under_16,303
IT,Friuli-Venezia Giulia,Female,2021-01-01,Under_16,73
IT,Friuli-Venezia Giulia,Male,2021-01-01,Under_16,77
IT,Friuli-Venezia Giulia,Female,2022-01-01,Under_16,72
IT,Friuli-Venezia Giulia,Male,2022-01-01,Under_16,76
IT,Friuli-Venezia Giulia,Female,2023-01-01,Under_16,71
IT,Friuli-Venezia Giulia,Male,2023-01-01,Under_16,75
IT,Lazio,Female,2021-01-01,Under_16,389
IT,Lazio,Male,2021-01-01,Under_16,412
IT,Lazio,Female,2022-01-01,Under_16,384
IT,Lazio,Male,2022-01-01,Under_16,406
IT,Lazio,Female,2023-01-01,Under_16,376
IT,Lazio,Male,2023-01-01,Under_16,397
IT,Liguria,Female,2021-01-01,Under_16,86
IT,Liguria,Male,2021-01-01,Under_16,92
IT,Liguria,Female,2022-01-01,Under_16,85
IT,Liguria,Male,2022-01-01,Under_16,90
IT,Liguria,Female,2023-01-01,Under_16,84
IT,Liguria,Male,2023-01-01,Under_16,89
IT,Lombardia,Female,2021-01-01,Under_16,690
IT,Lombardia,Male,2021-01-01,Under_16,732
IT,Lombardia,Female,2022-01-01,Under_16,679
IT,Lombardia,Male,2022-01-01,Under_16,720
IT,Lombardia,Female,2023-01-01,Under_16,668
IT,Lombardia,Male,2023-01-01,Under_16,709
IT,Marche,Female,2021-01-01,Under_16,95
IT,Marche,Male,2021-01-01,Under_16,101
IT,Marche,Female,2022-01-01,Under_16,93
IT,Marche,Male,2022-01-01,Under_16,99
IT,Marche,Female,2023-01-01,Under_16,92
IT,Marche,Male,2023-01-01,Under_16,97
IT,Molise,Female,2021-01-01,Under_16,16
IT,Molise,Male,2021-01-01,Under_16,18
IT,Molise,Female,2022-01-01,Under_16,16
IT,Molise,Male,2022-01-01,Under_16,17
IT,Molise,Female,2023-01-01,Under_16,16
IT,Molise,Male,2023-01-01,Under_16,17
IT,Piemonte,Female,2021-01-01,Under_16,270
IT,Piemonte,Male,2021-01-01,Under_16,286
IT,Piemonte,Female,2022-01-01,Under_16,265
IT,Piemonte,Male,2022-01-01,Under_16,281
IT,Piemonte,Female,2023-01-01,Under_16,261
IT,Piemonte,Male,2023-01-01,Under_16,275
IT,Puglia,Female,2021-01-01,Under_16,262
IT,Puglia,Male,2021-01-01,Under_16,278
IT,Puglia,Female,2022-01-01,Under_16,257
IT,Puglia,Male,2022-01-01,Under_16,272
IT,Puglia,Female,2023-01-01,Under_16,251
IT,Puglia,Male,2023-01-01,Under_16,267
IT,Sardegna,Female,2021-01-01,Under_16,90
IT,Sardegna,Male,2021-01-01,Under_16,96
IT,Sardegna,Female,2022-01-01,Under_16,88
IT,Sardegna,Male,2022-01-01,Under_16,94
IT,Sardegna,Female,2023-01-01,Under_16,85
IT,Sardegna,Male,2023-01-01,Under_16,91
IT,Sicilia,Female,2021-01-01,Under_16,345
IT,Sicilia,Male,2021-01-01,Under_16,365
IT,Sicilia,Female,2022-01-01,Under_16,340
IT,Sicilia,Male,2022-01-01,Under_16,359
IT,Sicilia,Female,2023-01-01,Under_16,335
IT,Sicilia,Male,2023-01-01,Under_16,353
IT,Toscana,Female,2021-01-01,Under_16,231
IT,Toscana,Male,2021-01-01,Under_16,245
IT,Toscana,Female,2022-01-01,Under_16,227
IT,Toscana,Male,2022-01-01,Under_16,240
IT,Toscana,Female,2023-01-01,Under_16,222
IT,Toscana,Male,2023-01-01,Under_16,235
IT,Trentino-Alto Adige/Südtirol,Female,2021-01-01,Under_16,82
IT,Trentino-Alto Adige/Südtirol,Male,2021-01-01,Under_16,87
IT,Trentino-Alto Adige/Südtirol,Female,2022-01-01,Under_16,81
IT,Trentino-Alto Adige/Südtirol,Male,2022-01-01,Under_16,86
IT,Trentino-Alto Adige/Südtirol,Female,2023-01-01,Under_16,80
IT,Trentino-Alto Adige/Südtirol,Male,2023-01-01,Under_16,85
IT,Umbria,Female,2021-01-01,Under_16,54
IT,Umbria,Male,2021-01-01,Under_16,57
IT,Umbria,Female,2022-01-01,Under_16,53
IT,Umbria,Male,2022-01-01,Under_16,56
IT,Umbria,Female,2023-01-01,Under_16,52
IT,Umbria,Male,2023-01-01,Under_16,55
IT,Valle d'Aosta/Vallée d'Aoste,Female,2021-01-01,Under_16,8
IT,Valle d'Aosta/Vallée d'Aoste,Male,2021-01-01,Under_16,8
IT,Valle d'Aosta/Vallée d'Aoste,Female,2022-01-01,Under_16,7
IT,Valle d'Aosta/Vallée d'Aoste,Male,2022-01-01,Under_16,8
IT,Valle d'Aosta/Vallée d'Aoste,Female,2023-01-01,Under_16,7
IT,Valle d'Aosta/Vallée d'Aoste,Male,2023-01-01,Under_16,8
IT,Veneto,Female,2021-01-01,Under_16,325
IT,Veneto,Male,2021-01-01,Under_16,344
IT,Veneto,Female,2022-01-01,Under_16,319
IT,Veneto,Male,2022-01-01,Under_16,338
IT,Veneto,Female,2023-01-01,Under_16,313
IT,Veneto,Male,2023-01-01,Under_16,332
ES,Andalucía,Male,2023-01-01,Under_16,692
ES,Andalucía,Male,2022-01-01,Under_16,697
ES,Andalucía,Male,2021-01-01,Under_16,713
ES,Aragón,Male,2023-01-01,Under_16,99
ES,Aragón,Male,2022-01-01,Under_16,98
ES,Aragón,Male,2021-01-01,Under_16,100
ES,Principado de Asturias,Male,2023-01-01,Under_16,56
ES,Principado de Asturias,Male,2022-01-01,Under_16,58
ES,Principado de Asturias,Male,2021-01-01,Under_16,60
ES,Illes Balears,Male,2023-01-01,Under_16,94
ES,Illes Balears,Male,2022-01-01,Under_16,96
ES,Illes Balears,Male,2021-01-01,Under_16,95
ES,Canarias,Male,2023-01-01,Under_16,149
ES,Canarias,Male,2022-01-01,Under_16,152
ES,Canarias,Male,2021-01-01,Under_16,152
ES,Cantabria,Male,2023-01-01,Under_16,40
ES,Cantabria,Male,2022-01-01,Under_16,40
ES,Cantabria,Male,2021-01-01,Under_16,40
ES,Castilla y León,Male,2023-01-01,Under_16,150
ES,Castilla y León,Male,2022-01-01,Under_16,150
ES,Castilla y León,Male,2021-01-01,Under_16,151
ES,Castilla-La Mancha,Male,2023-01-01,Under_16,166
ES,Castilla-La Mancha,Male,2022-01-01,Under_16,165
ES,Castilla-La Mancha,Male,2021-01-01,Under_16,166
ES,Cataluña/Catalunya,Male,2023-01-01,Under_16,620
ES,Cataluña/Catalunya,Male,2022-01-01,Under_16,622
ES,Cataluña/Catalunya,Male,2021-01-01,Under_16,631
ES,Comunitat Valenciana,Male,2023-01-01,Under_16,401
ES,Comunitat Valenciana,Male,2022-01-01,Under_16,399
ES,Comunitat Valenciana,Male,2021-01-01,Under_16,397
ES,Extremadura,Male,2023-01-01,Under_16,75
ES,Extremadura,Male,2022-01-01,Under_16,76
ES,Extremadura,Male,2021-01-01,Under_16,76
ES,Galicia,Male,2023-01-01,Under_16,166
ES,Galicia,Male,2022-01-01,Under_16,167
ES,Galicia,Male,2021-01-01,Under_16,169
ES,Comunidad de Madrid,Male,2023-01-01,Under_16,541
ES,Comunidad de Madrid,Male,2022-01-01,Under_16,540
ES,Comunidad de Madrid,Male,2021-01-01,Under_16,548
ES,Región de Murcia,Male,2023-01-01,Under_16,135
ES,Región de Murcia,Male,2022-01-01,Under_16,136
ES,Región de Murcia,Male,2021-01-01,Under_16,139
ES,Comunidad Foral de Navarra,Male,2023-01-01,Under_16,53
ES,Comunidad Foral de Navarra,Male,2022-01-01,Under_16,53
ES,Comunidad Foral de Navarra,Male,2021-01-01,Under_16,54
ES,País Vasco/Euskadi,Male,2023-01-01,Under_16,156
ES,País Vasco/Euskadi,Male,2022-01-01,Under_16,160
ES,País Vasco/Euskadi,Male,2021-01-01,Under_16,161
ES,La Rioja,Male,2023-01-01,Under_16,23
ES,La Rioja,Male,2022-01-01,Under_16,24
ES,La Rioja,Male,2021-01-01,Under_16,25
ES,Ciudad Autónoma de Ceuta,Male,2023-01-01,Under_16,9
ES,Ciudad Autónoma de Ceuta,Male,2022-01-01,Under_16,7
ES,Ciudad Autónoma de Ceuta,Male,2021-01-01,Under_16,7
ES,Ciudad Autónoma de Melilla,Male,2023-01-01,Under_16,9
ES,Ciudad Autónoma de Melilla,Male,2022-01-01,Under_16,10
ES,Ciudad Autónoma de Melilla,Male,2021-01-01,Under_16,11
ES,Andalucía,Female,2023-01-01,Under_16,654
ES,Andalucía,Female,2022-01-01,Under_16,660
ES,Andalucía,Female,2021-01-01,Under_16,669
ES,Aragón,Female,2023-01-01,Under_16,92
ES,Aragón,Female,2022-01-01,Under_16,91
ES,Aragón,Female,2021-01-01,Under_16,93
ES,Principado de Asturias,Female,2023-01-01,Under_16,53
ES,Principado de Asturias,Female,2022-01-01,Under_16,53
ES,Principado de Asturias,Female,2021-01-01,Under_16,56
ES,Illes Balears,Female,2023-01-01,Under_16,89
ES,Illes Balears,Female,2022-01-01,Under_16,89
ES,Illes Balears,Female,2021-01-01,Under_16,89
ES,Canarias,Female,2023-01-01,Under_16,139
ES,Canarias,Female,2022-01-01,Under_16,140
ES,Canarias,Female,2021-01-01,Under_16,144
ES,Cantabria,Female,2023-01-01,Under_16,37
ES,Cantabria,Female,2022-01-01,Under_16,37
ES,Cantabria,Female,2021-01-01,Under_16,39
ES,Castilla y León,Female,2023-01-01,Under_16,140
ES,Castilla y León,Female,2022-01-01,Under_16,141
ES,Castilla y León,Female,2021-01-01,Under_16,143
ES,Castilla-La Mancha,Female,2023-01-01,Under_16,154
ES,Castilla-La Mancha,Female,2022-01-01,Under_16,154
