name,country_code,state_code,region,city,market_category,market,founded_at,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
#waywire,USA,NY,New York City,New York,Entertainment & Media, News ,2012-06-01,1750000.0,1.0,2012-06-30,2012-06-30,acquired,1750000.0,,,,,,,,,,,,,,,,,,,,
&TV Communications,USA,CA,Los Angeles,Los Angeles,Entertainment & Media, Games ,,4000000.0,2.0,2010-06-04,2010-09-23,operating,,4000000.0,,,,,,,,,,,,,,,,,,,
'Rock' Your Paper,EST,,Tallinn,Tallinn,Entertainment & Media, Publishing ,2012-10-26,40000.0,1.0,2012-08-09,2012-08-09,operating,40000.0,,,,,,,,,,,,,,,,,,,,
(In)Touch Network,GBR,,London,London,Hardware & Semiconductors, Electronics ,2011-04-01,1500000.0,1.0,2011-04-01,2011-04-01,operating,1500000.0,,,,,,,,,,,,,,,,,,,,
-R- Ranch and Mine,USA,TX,Dallas,Fort Worth,Travel & Hospitality, Tourism ,2014-01-01,60000.0,2.0,2014-08-17,2014-09-26,operating,,,60000.0,,,,,,,,,,,,,,,,,,
.Club Domains,USA,FL,Ft. Lauderdale,Oakland Park,Software & SaaS, Software ,2011-10-10,14000000.0,1.0,2013-05-31,2013-05-31,,,7000000.0,,,,,,,,,,,,,7000000.0,,,,,,
.Fox Networks,ARG,,Buenos Aires,Buenos Aires,Advertising & Marketing, Advertising ,,4912393.0,1.0,2007-01-16,2007-01-16,closed,,,,4912393.0,,,,,,,,,,,,,,,,,
0-6.com,,,,,E-Commerce & Retail, Curated Web ,2007-01-01,4000000.0,1.0,2008-03-19,2008-03-19,operating,,2000000.0,,,,,,,,,,,,2000000.0,,,,,,,
01Games Technology,HKG,,Hong Kong,Hong Kong,Entertainment & Media, Games ,,41250.0,1.0,2014-07-01,2014-07-01,operating,41250.0,,,,,,,,,,,,,,,,,,,,
"1,2,3 Listo",CHL,,Santiago,Las Condes,E-Commerce & Retail, E-Commerce ,2012-01-01,40000.0,1.0,2013-02-18,2013-02-18,operating,40000.0,,,,,,,,,,,,,,,,,,,,
1-800-DOCTORS,USA,NJ,Newark,Iselin,Healthcare, Health and Wellness ,1984-01-01,1750000.0,1.0,2011-03-02,2011-03-02,operating,,,,,1750000.0,,,,,,,,,,,,,,,,
10 Minutes With,GBR,,London,London,Education, Education ,2013-01-01,8400000.0,2.0,2013-01-01,2014-10-09,operating,400000.0,4000000.0,,,,,,,,,,,,4000000.0,,,,,,,
10-20 Media,USA,MD,Baltimore,Woodbine,E-Commerce & Retail, E-Commerce ,2001-01-01,2050000.0,4.0,2009-06-18,2011-12-28,operating,,,,,,2050000.0,,,,,,,,,,,,,,,
1000 Corks,USA,OR,"Portland, Oregon",Lake Oswego,Other, Search ,2008-01-01,40000.0,1.0,2011-08-23,2011-08-23,operating,40000.0,,,,,,,,,,,,,,,,,,,,
