country,region,market_category,founded
ES,Comunidad de Madrid,Advertising & Marketing,2025-01-01
ES,Comunitat Valenciana,Other,2025-01-01
ES,Cataluña/Catalunya,Mobile,2022-01-01
ES,Cataluña/Catalunya,Software & SaaS,2024-01-01
ES,Cantabria,Education,2025-01-01
ES,País Vasco/Euskadi,Security,2025-01-01
ES,Comunitat Valenciana,Other,2014-01-01
ES,Cataluña/Catalunya,Other,2023-01-01
ES,Comunidad de Madrid,Other,2020-01-01
ES,Comunidad de Madrid,Analytics & AI,2024-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Comunitat Valenciana,Analytics & AI,2025-01-01
ES,Aragón,Analytics & AI,2025-01-01
ES,Cataluña/Catalunya,Software & SaaS,2024-01-01
ES,Cantabria,Finance & FinTech,2023-01-01
ES,Andalucía,Other,2025-01-01
ES,Andalucía,Other,2025-01-01
ES,Cataluña/Catalunya,Analytics & AI,2024-01-01
ES,Comunidad de Madrid,Analytics & AI,2025-01-01
ES,Comunidad de Madrid,Analytics & AI,2025-01-01
ES,Cataluña/Catalunya,Other,2025-01-01
ES,Andalucía,Real Estate,2023-01-01
ES,Cataluña/Catalunya,E-Commerce & Retail,2025-01-01
ES,Principado de Asturias,Advertising & Marketing,2011-01-01
ES,Cataluña/Catalunya,Entertainment & Media,2025-01-01
ES,Comunidad de Madrid,Mobile,2024-01-01
ES,Cataluña/Catalunya,Software & SaaS,2024-01-01
ES,Cataluña/Catalunya,Other,2014-01-01
ES,Cataluña/Catalunya,Education,2025-01-01
ES,Andalucía,Other,2025-01-01
ES,Comunidad de Madrid,Software & SaaS,2025-01-01
ES,Cataluña/Catalunya,Analytics & AI,2024-01-01
ES,Comunitat Valenciana,Other,2019-01-01
ES,Comunitat Valenciana,Analytics & AI,2025-01-01
ES,Comunidad de Madrid,Software & SaaS,2025-01-01
ES,Illes Balears,Other,2025-01-01
ES,Comunitat Valenciana,Mobile,2025-01-01
ES,Comunitat Valenciana,Healthcare,2024-01-01
ES,Comunitat Valenciana,Mobile,2024-01-01
ES,Comunitat Valenciana,Other,2024-01-01
ES,Comunitat Valenciana,Software & SaaS,2023-01-01
ES,Cataluña/Catalunya,Travel & Hospitality,2025-01-01
ES,Comunidad de Madrid,Software & SaaS,2024-01-01
ES,Cataluña/Catalunya,Travel & Hospitality,2024-01-01
ES,Cataluña/Catalunya,Analytics & AI,2025-01-01
ES,Cataluña/Catalunya,Other,2023-01-01
ES,Illes Balears,Software & SaaS,2023-01-01
ES,Cataluña/Catalunya,Hardware & Semiconductors,2023-01-01
ES,Cataluña/Catalunya,Software & SaaS,2023-01-01
ES,Comunitat Valenciana,Entertainment & Media,2023-01-01
ES,Comunidad de Madrid,Software & SaaS,2022-01-01
ES,Cataluña/Catalunya,Healthcare,2021-01-01
ES,Cataluña/Catalunya,Mobile,2021-01-01
ES,Cataluña/Catalunya,Travel & Hospitality,2025-01-01
ES,Comunidad de Madrid,Software & SaaS,2014-01-01
ES,Comunidad de Madrid,Analytics & AI,2024-01-01
ES,Comunidad de Madrid,Other,2025-01-01
ES,Cataluña/Catalunya,Analytics & AI,2024-01-01
ES,Andalucía,Analytics & AI,2024-01-01
ES,Andalucía,E-Commerce & Retail,2025-01-01
ES,Cataluña/Catalunya,Advertising & Marketing,2025-01-01
ES,Comunidad de Madrid,Finance & FinTech,2024-01-01
ES,Comunitat Valenciana,Analytics & AI,2025-01-01
ES,Andalucía,Other,2025-01-01
ES,Cataluña/Catalunya,Healthcare,2025-01-01
ES,Cataluña/Catalunya,Analytics & AI,2024-01-01
ES,Cataluña/Catalunya,Analytics & AI,2025-01-01
ES,Cataluña/Catalunya,Other,2020-01-01
ES,Cataluña/Catalunya,Software & SaaS,2024-01-01
ES,Andalucía,Other,2025-01-01
ES,Comunitat Valenciana,Analytics & AI,2020-01-01
ES,Comunitat Valenciana,Clean Tech & Energy,2022-01-01
ES,Galicia,Other,2022-01-01
ES,Cataluña/Catalunya,Other,2024-01-01
ES,Cataluña/Catalunya,Other,2017-01-01
ES,Comunidad de Madrid,Healthcare,2022-01-01
ES,Cataluña/Catalunya,Advertising & Marketing,2022-01-01
ES,Comunidad de Madrid,Analytics & AI,2022-01-01
ES,Comunidad de Madrid,Entertainment & Media,2011-01-01
ES,Cataluña/Catalunya,Software & SaaS,2022-01-01
ES,Comunitat Valenciana,Software & SaaS,2023-01-01
ES,Cataluña/Catalunya,Analytics & AI,2023-01-01
ES,Comunidad de Madrid,Other,2023-01-01
ES,Andalucía,Other,2023-01-01
ES,Cataluña/Catalunya,Other,2023-01-01
ES,Cataluña/Catalunya,E-Commerce & Retail,2023-01-01
ES,Andalucía,Mobile,2023-01-01
ES,Comunitat Valenciana,Software & SaaS,2023-01-01
ES,Comunidad de Madrid,Other,2023-01-01
ES,Comunidad de Madrid,Finance & FinTech,2023-01-01
ES,Comunidad de Madrid,Finance & FinTech,2023-01-01
ES,Andalucía,Other,2023-01-01
ES,Comunitat Valenciana,Social & Communication,2023-01-01
ES,Comunidad de Madrid,Travel & Hospitality,2023-01-01
ES,Cataluña/Catalunya,Hardware & Semiconductors,2023-01-01
ES,Comunidad de Madrid,Other,2023-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Cataluña/Catalunya,Finance & FinTech,2024-01-01
ES,Cataluña/Catalunya,Other,2024-01-01
ES,Andalucía,E-Commerce & Retail,2024-01-01
ES,Cataluña/Catalunya,Social & Communication,2024-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Andalucía,Other,2024-01-01
ES,Comunidad de Madrid,Manufacturing & Logistics,2024-01-01
ES,Cataluña/Catalunya,Entertainment & Media,2024-01-01
ES,Cataluña/Catalunya,Other,2024-01-01
ES,Comunidad de Madrid,Software & SaaS,2024-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Comunidad de Madrid,E-Commerce & Retail,2024-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Andalucía,Software & SaaS,2024-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Comunidad de Madrid,Other,2024-01-01
ES,Comunidad de Madrid,Analytics & AI,2024-01-01
ES,Cataluña/Catalunya,E-Commerce & Retail,2025-01-01
ES,Cataluña/Catalunya,Healthcare,2024-01-01
ES,Cataluña/Catalunya,Other,2023-01-01
ES,Andalucía,Clean Tech & Energy,2023-01-01
ES,Comunidad de Madrid,Software & SaaS,2024-01-01
ES,Región de Murcia,Other,2024-01-01
ES,Comunitat Valenciana,Travel & Hospitality,2020-01-01
ES,Comunitat Valenciana,Other,2022-01-01
ES,Comunitat Valenciana,Other,2025-01-01
ES,Andalucía,Analytics & AI,2010-01-01
ES,Cataluña/Catalunya,Healthcare,2024-01-01
ES,Comunidad de Madrid,Other,2025-01-01
ES,Comunitat Valenciana,Software & SaaS,2019-01-01
ES,Cataluña/Catalunya,Other,2024-01-01
ES,Comunidad de Madrid,Analytics & AI,2023-01-01
ES,Comunidad de Madrid,Software & SaaS,2023-01-01
ES,Comunitat Valenciana,Other,2024-01-01
ES,Andalucía,Analytics & AI,2024-01-01
ES,Andalucía,Other,2023-01-01
ES,Cataluña/Catalunya,Biotechnology,2024-01-01
ES,Andalucía,Software & SaaS,2024-01-01
ES,Andalucía,Manufacturing & Logistics,2009-01-01
ES,Cataluña/Catalunya,Other,2024-01-01
ES,Comunitat Valenciana,Analytics & AI,2023-01-01
ES,Comunidad de Madrid,Healthcare,2024-01-01
ES,Canarias,Advertising & Marketing,2024-01-01
ES,Cataluña/Catalunya,Software & SaaS,2024-01-01
ES,Cataluña/Catalunya,Education,2024-01-01
ES,Cataluña/Catalunya,Other,2024-01-01
ES,Andalucía,Real Estate,2024-01-01
ES,Cataluña/Catalunya,Analytics & AI,2024-01-01
ES,Illes Balears,E-Commerce & Retail,2023-01-01
ES,Comunidad de Madrid,Healthcare,2023-01-01
ES,Cataluña/Catalunya,Analytics & AI,2024-01-01
ES,Cataluña/Catalunya,Other,2023-01-01
ES,Cataluña/Catalunya,Finance & FinTech,2024-01-01
ES,Comunidad de Madrid,Analytics & AI,2024-01-01
ES,Cataluña/Catalunya,Other,2024-01-01
ES,Andalucía,Other,2022-01-01
ES,Cataluña/Catalunya,Education,2024-01-01
ES,Cataluña/Catalunya,Finance & FinTech,2024-01-01
ES,Comunidad de Madrid,Advertising & Marketing,2024-01-01
ES,Illes Balears,Travel & Hospitality,2024-01-01
ES,Cataluña/Catalunya,Security,2024-01-01
ES,Andalucía,Advertising & Marketing,2024-01-01
ES,Cataluña/Catalunya,Finance & FinTech,2022-01-01
ES,Andalucía,Education,2024-01-01
ES,Andalucía,Travel & Hospitality,2024-01-01
ES,País Vasco/Euskadi,Analytics & AI,2024-01-01
